subject,summary,press,wdate,link
"허선호 미래에셋증권 대표 ""서학개미 13조 벌어, 중국·인도로 분산투자""",허선호 미래에셋증권 대표가 최근 투자자들에게 보낸 투자레터를 보내 지난해 성과를 소개하고 투자 포트폴리오를 다양화 하겠다는 의지를 강조.. 머니S | 2025-01-31 09:40:46,머니S,2025-01-31 09:40:46,https://n.news.naver.com/mnews/article/417/0001054889
“미·중 AI 패권전쟁 시작됐다”…엔비디아 누른 ‘가성비 AI’ 딥시크 파장 어디까지? [투자360],"中 AI 스타트업 딥시크, 저비용 고성능 AI 모델 개발 비용효율적 AI 등장에 시장 ‘흔들’ “AI 산업엔 호재 엔비디아엔 악재” [.. 헤럴드경제 | 2025-01-31 09:40:08",헤럴드경제,2025-01-31 09:40:08,https://n.news.naver.com/mnews/article/016/0002421937
"""네이버도 할 수 있는 거 아냐?""…'딥시크 등장'에 주가 급등",중국 생성형 인공지능(AI) '딥시크'가 저비용으로 챗GPT와 유사한 성능의 AI 추론 모델을 만들어내면서 국내 증시에서 AI 소프트웨.. 한국경제 | 2025-01-31 09:38:17,한국경제,2025-01-31 09:38:17,https://n.news.naver.com/mnews/article/015/0005087807
"하이닉스 끌어내린 딥시크, AI 소프트웨어엔 수혜…네이버 6%↑[핫종목]",네이버(035420)가 중국 인공지능(AI) 스타트업 딥시크의 수혜주로 떠오르며 주가 상승세를 기록하고 있다. 31일 한국거래소에 따르.. 뉴스1 | 2025-01-31 09:37:17,뉴스1,2025-01-31 09:37:17,https://n.news.naver.com/mnews/article/421/0008047863
"기다리던 엔비디아 HBM 납품 소식인데…삼성전자, 2%대 하락[핫종목]",삼성전자(005930)가 엔비디아에 5세대 고대역폭메모리(HBM) HBM3E 8단 제품을 납품했다는 소식에도 31일 하락 중이다. 이날.. 뉴스1 | 2025-01-31 09:34:41,뉴스1,2025-01-31 09:34:41,https://n.news.naver.com/mnews/article/421/0008047854
'딥시크 쇼크' 20만닉스도 위태…반도체주 줄줄이 '휘청',SK하이닉스가 장 초반 11%대 하락했다. 반도체주 대부분이 약세다. 중국 AI(인공지능) 스타트업 '딥시크'발 충격 여파다. 31일 .. 머니투데이 | 2025-01-31 09:34:18,머니투데이,2025-01-31 09:34:18,https://n.news.naver.com/mnews/article/008/0005147025
"앱트뉴로사이언스-에이프로젠, 파킨슨병 치료제 공동개발 계약 체결",연내 라이선스아웃 목표 국내 바이오시밀러 기업 에이프로젠은 앱트뉴로사이언스와 파킨슨병 치료제를 올해 내에 라이선스 아웃하고 특허권리 범.. 매일경제 | 2025-01-31 09:34:09,매일경제,2025-01-31 09:34:09,https://n.news.naver.com/mnews/article/009/0005436216
딥시크發 충격에…전력기기株 일제히 급락세[핫스탁],중국 인공지능(AI) 스타트업 딥시크(DeepSeek)발 충격에 전력기기 관련주들의 주가가 일제히 급락세를 보이고 있다. 앞서 전력주는.. 뉴시스 | 2025-01-31 09:30:45,뉴시스,2025-01-31 09:30:45,https://n.news.naver.com/mnews/article/003/0013039932
'딥시크 쇼크'에 전선·전력주 일제히 급락,중국 생성형 인공지능(AI) '딥시크' 충격파에 설 연휴 휴장을 끝내고 돌아온 국내 증시에서 전선·전력주(株) 주가가 일제히 급락하고 .. 한국경제 | 2025-01-31 09:28:13,한국경제,2025-01-31 09:28:13,https://n.news.naver.com/mnews/article/015/0005087803
"'딥시크 충격' 장중 20만닉스 붕괴…""수혜주"" 이 종목들은 올랐다",'딥시크 충격'이 국내 증시에까지 영향을 미쳤다. 코스피는 설 연휴 이후 개장하자마자 1% 이상 빠지고 있다. 특히 AI(인공지능) 수.. 머니투데이 | 2025-01-31 09:25:51,머니투데이,2025-01-31 09:25:51,https://n.news.naver.com/mnews/article/008/0005147023
"""나랑 같은 코인 샀는데""…1년 후 20% 더 높은 수익 낸 비결",업비트에서 1년 전 솔라나(SOL)를 스테이킹한 투자자의 수익률이 212%에 이르는 것으로 나타났다. 단순 보유보다 20% 높은 수익률.. 머니투데이 | 2025-01-31 09:24:45,머니투데이,2025-01-31 09:24:45,https://n.news.naver.com/mnews/article/008/0005147022
"삼성KODEX 200타겟위클리커버드콜, 두달만에 순자산 1천억",삼성자산운용은 최초로 선보인 국내 타겟커버드콜 ETF인 ‘KODEX 200타겟위클리커버드콜’의 순자산이 1000억원을 돌파했다고 31일.. 아시아경제 | 2025-01-31 09:24:34,아시아경제,2025-01-31 09:24:34,https://n.news.naver.com/mnews/article/277/0005539621
